,PH-PA,TH-TA,DGH-DGA,WH-WA,GFH-GFA,MGFH+MGFA,GCH-GCA,MGCH+MGCA,MGFH+MGCA,MGCH+MGFA,GFH-GCA,GCH-GFA,FOH-FOA,FDH-FDA,MFOH+MFOA,MFDH+MFDA,FOH-FDA,FDH-FOA,MFOH+MFDA,MFDH+MFOA,DSH-DSA,MDSH+MDSA,PRT,GLS,R
0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,4.0,-1
1,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1.0,1
2,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,4.0,0
3,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,-1
4,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1,5.0,-1
5,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,-1
6,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,2.0,1
7,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,2.0,1
8,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,-1
9,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,4.0,1
10,0.0,0,0.0,0.0,-1.0,2.5,-1.0,1.5,2.0,2.0,0.0,-2.0,-0.16666666666666674,0.5,1.4166666666666665,-0.25,1.8333333333333333,-1.5,0.41666666666666663,0.75,0,0.0,0,3.0,1
11,-16.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,2.0,-1.1666666666666667,4.0,-1.1666666666666667,3.0,-2.166666666666667,3.0,-0.16666666666666674,0,0.0,-1,1.0,-1
12,16.0,1,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,1.3333333333333333,-0.5,1.3333333333333333,-1.5,1.8333333333333333,-1.0,0.8333333333333333,-1.0,1,1.0,0,0.0,0
13,32.0,3,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,1.5,2.0,-1.5,2.5,-1.0,-0.5,1.0,0,0.0,-1,4.0,-1
14,-16.0,-1,-2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,-1.3333333333333333,0.0,1.3333333333333333,-2.0,1.0,-2.333333333333333,-1.0,0.33333333333333326,-1,1.0,1,1.0,1
15,-32.0,-3,-6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,-1.3333333333333333,-2.0,1.3333333333333333,-2.0,0.0,-3.333333333333333,0.0,-0.6666666666666667,0,0.0,0,0.0,0
16,32.0,3,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,1.0,0.5,1.0,-0.5,1.5,0.0,0.5,0.0,0,0.0,-1,2.0,0
17,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.5,-0.5,-0.5,-0.5,0,0.0,-1,3.0,1
18,-32.0,-3,-6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,-1.6,-1.0,1.6,-1.0,0.0,-2.6,0.0,0.6000000000000001,0,0.0,0,5.0,1
19,32.0,3,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,2.0,2.0,-2.0,3.0,-1.0,-1.0,1.0,0,0.0,0,1.0,1
20,-16.0,-3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,-1.233333333333333,-0.8333333333333333,4.433333333333334,-0.16666666666666674,1.2666666666666668,-3.333333333333333,1.9333333333333333,2.333333333333333,0,0.0,0,0.0,0
21,2.2058083224974325,1,-1.0,0.5,1.0,2.5,0.0,3.0,3.0,2.5,0.0,1.0,0.16666666666666674,-1.0,1.4166666666666665,-1.5,2.5,-3.333333333333333,0.25,-0.33333333333333337,-2,1.0,0,0.0,0
22,-17.469501528975456,-1,-1.0,-0.5,-1.0,0.5,0.0,2.0,1.0,1.5,-2.0,1.0,0.0,-0.5,1.0,-1.25,2.0,-2.5,0.0,-0.25,-1,0.5,1,4.0,1
23,-2.2058083224974325,0,4.0,1.0,4.0,2.0,-2.0,2.0,3.5,0.5,1.0,1.0,1.9333333333333336,-0.5,1.9666666666666668,-1.25,3.9333333333333336,-2.5,0.9666666666666668,-0.25,0,0.0,0,2.0,1
24,-13.060996942049087,-2,-3.0,-0.5,-1.0,0.5,0.0,1.0,0.5,1.0,-1.0,0.0,-2.0,-0.5,1.0,-1.75,1.5,-4.0,-0.75,0.0,1,0.5,0,1.0,1
25,-31.26680526454652,-3,-2.0,-0.5,1.0,1.5,2.0,2.0,1.5,2.0,1.0,2.0,-0.6666666666666667,-1.0,1.6666666666666665,-1.0,1.8333333333333333,-3.5,0.41666666666666663,0.25,0,1.0,0,1.0,1
26,14.530498471024544,1,2.0,1.0,2.0,1.0,-1.0,1.5,2.0,0.5,0.0,1.0,0.0,1.0,1.3333333333333333,-0.5,2.333333333333333,-1.3333333333333333,0.16666666666666663,0.6666666666666666,1,0.5,0,1.0,-1
27,-29.060996942048973,-3,-2.0,-1.0,0.0,1.0,3.0,2.5,1.0,2.5,0.0,3.0,0.5,-2.0,2.25,-1.0,2.5,-4.0,1.25,0.0,0,0.0,1,1.0,1
28,14.527386412955934,2,-1.0,0.0,-3.0,2.5,-1.0,1.5,1.5,2.5,-1.0,-3.0,0.3999999999999999,0.5,1.8,-0.25,2.5,-1.6,0.75,0.8,-1,0.5,1,1.0,1
29,15.26680526454652,1,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-2.0,2.0,-1.0,2.0,0.5,-1.5,2.5,-1.5,-1.25,0.25,1,0.5,-1,2.0,-1
30,-17.334392694700455,-1,3.0,0.0,0.0,0.0,-3.0,3.5,2.5,1.0,-5.0,2.0,1.5,0.0,2.25,-1.6666666666666667,4.666666666666667,-3.166666666666667,0.6666666666666666,-0.08333333333333337,-1,0.5,-1,3.0,-1
31,-31.89842013758198,-4,-3.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,-1.0,1.0,-1.4999999999999998,-0.33333333333333326,2.083333333333333,0.16666666666666663,1.0,-2.833333333333333,0.8333333333333333,1.4166666666666665,2,2.0,1,1.0,1
