comprensive,amount,fibre_tensile,aspec_ratio,fr1,fr2
45,20,1100,64,2.55,2.22
45,40,1050,80,2.96,3.23
45,20,1100,64,4.1,3.94
45,40,1050,80,3.93,4.56
45,30,1115,47.6,1.26,11.1
58,30,1230,66.7,7.43,9.45
41,25,1345,63.6,1.98,15.8
36.5,20,1100,64,2.55,2.22
30.5,20,1100,64,4.1,3.94
29,40,1050,80,2.96,3.23
26,40,1050,80,3.93,4.56
46.73,40,1270,83,6.25,7.05
49.46,40,1270,83,6.13,7.08
46.77,40,1270,83,3.75,4.3
32.1,50,1100,62.5,5.4,5
33.1,75,1100,62.5,6,6
62.1,30,1000,50,3.15,2.44
63.9,45,1000,50,5.06,3.89
64.9,60,1000,50,4.81,4.26
70.5,30,1000,50,2.85,2.61
66.3,45,1000,50,4.72,4.67
66.7,60,1000,50,7.13,7.12
49.7,20,1100,50,2.28,2.61
39.7,39.25,1270,48.39,5,4.05
36.4,78.5,1270,48.39,5.09,3.42
40.8,39.25,2000,65,4.12,3.35
27.4,78.5,2000,65,5.43,4.36
70,39.25,2300,65,5.04,6.97
70,39.25,2300,65,7.09,8.17
70,39.25,2300,65,5.84,8.6
70,39.25,2300,65,5.93,8.15
70,39.25,2300,65,4.78,7.17
70,39.25,2300,65,5.28,6.27
70,39.25,2300,65,5.54,8.82
70,39.25,2300,65,7.08,8.43
85,39.25,2300,65,7.2,8.52
85,39.25,2300,65,8.99,9.08
85,39.25,2300,65,7.92,10.47
85,39.25,2300,65,6.96,7.23
85,39.25,2300,65,5.67,8.25
85,39.25,2300,65,7.97,7.56
85,39.25,2300,65,7.19,9.14
85,39.25,2300,65,6.11,10.14
85,39.25,2300,65,6.91,9.74
90,39.25,3000,80,8.89,8.24
90,39.25,3000,80,6.04,6.52
90,39.25,3000,80,7.56,6.84
90,39.25,3000,80,5.8,6.84
90,39.25,3000,80,8.06,8.05
90,39.25,3000,80,8.01,8.88
90,39.25,3000,80,6.76,7.69
90,39.25,3000,80,7.53,6.92
90,39.25,3000,80,7.07,7.77
90,39.25,3000,80,6.91,9.74
90,78.5,2300,65,14.02,12.88
90,78.5,2300,65,10.62,11.1
90,78.5,2300,65,9.34,9.72
90,78.5,2300,65,11.25,10.86
90,78.5,2300,65,10.66,11.86
90,78.5,3000,80,11.17,11.24
90,78.5,3000,80,12.67,11.18
90,78.5,3000,80,12.47,10.53
90,78.5,3000,80,12.29,13.31
90,78.5,3000,80,12.78,11.3
