,LocalFavor,VisitFavor,LocalContra,VisitContra,LocalRoja,VisitRoja,LocalAmarilla,VisitAmarilla,LocalCorner,VisitCorner,LocalTiros,VisitTiros,LocalFaltas,VisitFaltas,Resultado,FTG,Corner10,Ambos,UO_0.5,UO_1.5,UO_2.5,UO_3.5,UO_4.5
0,1.1,1.8,1.2,0.9,0.1,0.0,1.7,1.8,5.3,4.7,3.5,4.3,11.5,10.0,0,2,-1,0,1,1,0,0,0
1,1.6,1.5,1.5,1.6,0.1,0.0,1.4,1.5,5.6,5.6,4.3,5.3,10.2,10.7,0,4,-1,1,1,1,1,1,0
2,1.1,0.9,1.5,1.3,0.0,0.1,1.6,2.3,4.3,3.9,3.8,3.3,10.7,11.9,1,2,0,0,1,1,0,0,0
3,1.4,0.6,1.9,2.0,0.1,0.1,2.0,2.0,5.8,4.5,4.2,2.6,12.3,12.5,1,3,0,1,1,1,1,0,0
4,1.9,0.6,0.7,2.3,0.1,0.0,1.5,1.8,8.2,4.1,5.8,2.5,10.9,11.4,1,2,1,0,1,1,0,0,0
5,1.9,0.9,1.3,1.9,0.1,0.0,2.2,2.5,6.2,3.6,6.1,3.3,11.9,12.1,1,5,1,1,1,1,1,1,1
6,0.8,0.9,1.4,1.5,0.1,0.1,1.9,2.1,5.3,4.8,4.7,4.3,9.8,10.6,0,1,1,0,1,0,0,0,0
7,1.2,1.2,1.4,1.5,0.1,0.0,1.4,1.4,3.5,3.7,4.2,3.3,11.0,9.7,0,4,1,1,1,1,1,1,0
8,1.9,1.8,0.5,1.7,0.1,0.0,1.8,1.4,5.9,4.7,6.2,5.1,11.1,11.5,0,3,-1,1,1,1,1,0,0
9,1.4,1.8,1.3,0.8,0.0,0.0,1.0,1.3,5.6,5.4,4.1,5.3,8.6,9.2,0,2,-1,0,1,1,0,0,0
10,1.7,0.9,1.1,1.6,0.0,0.1,1.9,2.2,4.8,3.9,4.6,3.3,10.1,11.1,1,3,1,1,1,1,1,0,0
11,2.8,1.5,1.3,2.2,0.0,0.0,0.9,1.6,7.0,3.6,6.5,3.8,9.6,10.6,1,6,-1,1,1,1,1,1,1
12,1.9,1.7,1.1,1.0,0.0,0.0,1.7,1.5,7.5,6.1,7.1,4.6,10.9,10.4,0,0,0,0,0,0,0,0,0
13,3.2,0.9,0.9,2.3,0.1,0.0,1.0,2.0,7.3,3.3,6.2,3.2,9.1,9.9,1,4,1,0,1,1,1,1,0
14,1.0,1.2,1.9,2.2,0.0,0.1,1.4,2.4,4.6,4.7,4.2,3.4,10.5,11.7,0,4,-1,1,1,1,1,1,0
15,1.0,1.3,1.1,1.3,0.2,0.0,2.4,2.8,5.3,4.2,3.9,3.6,11.9,11.5,0,0,-1,0,0,0,0,0,0
16,1.8,1.2,0.9,1.7,0.1,0.0,1.5,2.3,4.9,4.3,5.2,5.1,8.9,11.2,1,4,0,0,1,1,1,1,0
17,1.4,0.8,1.3,1.6,0.0,0.0,2.6,1.3,2.6,5.3,3.7,3.6,12.0,10.4,1,1,1,0,1,0,0,0,0
18,1.1,1.7,1.0,2.0,0.1,0.1,2.0,1.8,6.2,4.5,4.1,4.5,10.3,10.3,0,4,1,1,1,1,1,1,0
19,2.4,1.0,0.9,1.4,0.1,0.1,1.5,2.4,6.8,4.5,5.9,3.6,10.6,12.0,0,2,-1,1,1,1,0,0,0
20,1.9,0.6,1.3,2.0,0.1,0.1,2.2,2.0,6.2,4.5,6.1,2.6,11.9,12.5,1,1,1,0,1,0,0,0,0
21,1.1,0.9,1.2,1.3,0.1,0.1,1.7,2.3,5.3,3.9,3.5,3.3,11.5,11.9,1,4,-1,1,1,1,1,1,0
22,0.8,0.6,1.4,2.3,0.1,0.0,1.9,1.8,5.3,4.1,4.7,2.5,9.8,11.4,0,2,-1,1,1,1,0,0,0
23,1.6,1.2,1.5,1.5,0.1,0.0,1.4,1.4,5.6,3.7,4.3,3.3,10.2,9.7,1,5,-1,1,1,1,1,1,1
24,1.2,0.9,1.4,1.9,0.1,0.0,1.4,2.5,3.5,3.6,4.2,3.3,11.0,12.1,0,3,-1,1,1,1,1,0,0
25,1.1,1.8,1.5,0.9,0.0,0.0,1.6,1.8,4.3,4.7,3.8,4.3,10.7,10.0,0,3,-1,0,1,1,1,0,0
26,1.4,0.9,1.9,1.5,0.1,0.1,2.0,2.1,5.8,4.8,4.2,4.3,12.3,10.6,1,3,0,0,1,1,1,0,0
27,1.4,1.8,1.3,1.7,0.0,0.0,1.0,1.4,5.6,4.7,4.1,5.1,8.6,11.5,0,2,-1,0,1,1,0,0,0
28,1.9,1.8,0.7,0.8,0.1,0.0,1.5,1.3,8.2,5.4,5.8,5.3,10.9,9.2,0,6,0,1,1,1,1,1,1
29,1.9,1.5,0.5,1.6,0.1,0.0,1.8,1.5,5.9,5.6,6.2,5.3,11.1,10.7,1,3,1,1,1,1,1,0,0
30,1.0,1.2,1.9,1.7,0.0,0.0,1.4,2.3,4.6,4.3,4.2,5.1,10.5,11.2,0,1,-1,0,1,0,0,0,0
31,1.8,0.9,0.9,1.6,0.1,0.1,1.5,2.2,4.9,3.9,5.2,3.3,8.9,11.1,0,2,1,1,1,1,0,0,0
32,1.9,1.2,1.1,2.2,0.0,0.1,1.7,2.4,7.5,4.7,7.1,3.4,10.9,11.7,1,1,-1,0,1,0,0,0,0
33,1.1,1.5,1.0,2.2,0.1,0.0,2.0,1.6,6.2,3.6,4.1,3.8,10.3,10.6,1,3,1,1,1,1,1,0,0
